,name,city,content,score,date
12,影志,北京,又在电影院笑嗝屁了…“你要说不想吧，气氛哄到这儿了”、“夏竹好好看…好好看看我还剩多少钱了”、“第一次听说守门员可以跑这么远的”、“9:0踢向JB”、“你晚上蹲厕所，一开门夏竹蹲那儿”…以及结尾那个“严格地说，其实你应该叫我二奶”，真是猝不及防，哈哈哈。这个设定不错，喜剧不再只有抖包袱的外衣，所有笑点都围着核心主题转，才是真的喜剧。,推荐,2018-07-27
13,紫烟, ,这是传播了什么价值观，现在的孩子被毒害的还不够吗？《我不是药神》人家笑中有泪，传播的是正能量。这是什么，恶俗吗？人体宴都上来了，还有什么不能演的。小品喜欢，电影失望。,很差,2018-07-27
14,羽川翼,北京,除了尴尬的台湾女主其他人都很好笑，沈腾和常远一出场大家就笑，本来是8-9分的好笑程度，因为女主演技稀烂扣掉2星，最后金先生承认自己是二奶好评，电影现在能公开带一点同性恋内容也不容易,还行,2018-07-27
15,万事风过耳, ,恶俗 典型的把恶俗当幽默,很差,2018-07-27
16,似水年华, ,看来沈腾和马丽单飞后的电影真的不怎样，故事缺少内涵，搞笑套路无新意，不及铁拳。,较差,2018-07-27
17,华盛顿樱桃树,北京,作为一个笑点还比较高的人，一度笑崩溃了。亮点很多，惊喜密集。而难得的是，阐述了喜剧比较高级的力量，对当今社会做了不同角度和程度的讽刺。,还行,2018-07-24
18,白玉堂,香港,沈腾堕落了，虽然他也并没有高端过。,很差,2018-07-27
19,春天不是赶稿天,关注此人,一个定律：喜欢在片名上玩谐音梗的国产电影，99%是烂片。,较差,2018-07-27
20,津五渡,北京,整体水准而言，尚不及铁拳，把给铁拳的长评移过来都不用怎么改。笑点依旧是小品似的片段笑点，都靠以沈腾为主的麻花们撑，一盘散沙。对资本的戏谑与讽刺，是闪光的点，可惜仅仅是一闪，如果是有意为之，就比较可惜。,较差,2018-07-24
21,电影谷sir,北京,还真有西虹市影视公司呀！,力荐,2018-07-27
22,影志,北京,又在电影院笑嗝屁了…“你要说不想吧，气氛哄到这儿了”、“夏竹好好看…好好看看我还剩多少钱了”、“第一次听说守门员可以跑这么远的”、“9:0踢向JB”、“你晚上蹲厕所，一开门夏竹蹲那儿”…以及结尾那个“严格地说，其实你应该叫我二奶”，真是猝不及防，哈哈哈。这个设定不错，喜剧不再只有抖包袱的外衣，所有笑点都围着核心主题转，才是真的喜剧。,推荐,2018-07-27
23,紫烟, ,这是传播了什么价值观，现在的孩子被毒害的还不够吗？《我不是药神》人家笑中有泪，传播的是正能量。这是什么，恶俗吗？人体宴都上来了，还有什么不能演的。小品喜欢，电影失望。,很差,2018-07-27
24,羽川翼,北京,除了尴尬的台湾女主其他人都很好笑，沈腾和常远一出场大家就笑，本来是8-9分的好笑程度，因为女主演技稀烂扣掉2星，最后金先生承认自己是二奶好评，电影现在能公开带一点同性恋内容也不容易,还行,2018-07-27
25,万事风过耳, ,恶俗 典型的把恶俗当幽默,很差,2018-07-27
26,似水年华, ,看来沈腾和马丽单飞后的电影真的不怎样，故事缺少内涵，搞笑套路无新意，不及铁拳。,较差,2018-07-27
27,华盛顿樱桃树,北京,作为一个笑点还比较高的人，一度笑崩溃了。亮点很多，惊喜密集。而难得的是，阐述了喜剧比较高级的力量，对当今社会做了不同角度和程度的讽刺。,还行,2018-07-24
28,白玉堂,香港,沈腾堕落了，虽然他也并没有高端过。,很差,2018-07-27
29,春天不是赶稿天,关注此人,一个定律：喜欢在片名上玩谐音梗的国产电影，99%是烂片。,较差,2018-07-27
30,kiki204629,新疆昌吉,这个团队对剧本的打磨和设计还是有一定功力的，总体很接地气。喜剧最高境界就是让你看出泪，呐，笑点密集的背后是我们普通人的烦恼，啥时候痛快的做个败家玩意儿呢？,力荐,2018-07-27
31,电影发烧友, ,没有任何剧情的烂喜剧，没有剧情，一场闹剧，前五十分钟看不进去，后面的人物反思等不到了，提前离场，不知道笑点在哪里？角色也都不太正常，国产电影都这样，哎，可悲，还是冯小刚，徐克，这些导演的片子像话,很差,2018-07-27
32,Mr. Infamous,北京,去年在香港，看闫非彭大魔跟沈腾马丽一起乐呵呵地聊《资本接班人》，想着这《夏洛特烦恼》的升级版，相当可期了。只是马丽消失，而《夏》曾被诟病的思想与趣味，反倒变本加厉，难怪招惹那么多非议。有不少地方，段位低了些，属于不好回味的那种。而贪图插入某种正向情感，有时却嚼不烂了。不过，沈腾在喜剧表演上真有一套，很多笑点还是被他撑了起来，很喜欢他捂眼哭叫那段。宋芸桦开始不搭调，但后面不搭调成了挺有意思的主调，可能因为我太喜欢滕丽名，时而恍惚。生育梗比烧钱梗更厉害。火箭女孩那首羞耻的歌也是超洗脑。片末有个谋算许久的大梗大为不当，但对张晨光，倒有好感上窜。,还行,2018-07-24
33,冯小强,山东济南,每天负能量刷屏，能有一部电影让你开怀大笑俩小时，已经是难能可贵了。夏洛特玩穿越，铁拳玩性别互换，西虹市在高概念上玩的更high，30天败光10个亿。把人对金钱的欲望放在最夸张最极端的情境下展示，开怀大笑之后还能若有所思，功德圆满了…,力荐,2018-07-27
34,嘟嘟熊之父,北京,十亿元很难花掉吗？投资一部《阿修罗》，瞬间就赔光了啊。这设定太没说服力了。,很差,2018-07-27
35,muse, ,毫无意义的主题，也是，就是再烂的喜剧，国人都喜欢看，就是这样的心理，中国电影电视剧整体水平提不上来，怎么没人整改管一下，真正的好电影不让放，或者排片少，国产电影什么时候整体质量能提上去，就这种玩意也有人去看，不得不说中国电影市场非常的不成熟，观众也不成熟，坐等整改！,很差,2018-07-23
36,花大叔,北京,1、相比较《夏洛》文本更出色，但是《西虹市》的电影感更强，整个作品更立体，闫非彭大魔作为电影导演的进步很大；2、全程彩蛋，笑点密集；3、和《猛虫过江》撞了一半演员，可却比它好笑十倍，所以演员不应该为烂片背锅；4、演员该集体减肥了，连常远都肿了，张一鸣肿成个球，沈腾就没消过肿,推荐,2018-07-25
37,所有团的团长,北京,应该是买了版权的，但是讽刺都是浅尝辄止，喜剧部分又有点硬咯吱人，给我一种看缝纫机乐队的感觉，为了搞笑就咯吱人，为了感人，就莫名其妙煽情。故事性比较弱，始终难以入戏。旁边也有人笑的挺开心，我只能偶尔尬笑。5分。,较差,2018-07-24
38,Jonathan,北京,当人们普遍解决了温饱问题，谁还穿开裆裤挖野菜？同理，当人们的审美能力上去了，社会整体的修养上去了，观影者的口味上去了，谁还会看这类片子？有时候不要抱怨制片方，他们是金钱主义，再低俗只要有票房就可以。关键还是国人的审美水平问题。一方逐利无下限，一方傻乐无底线，中国的电影市场能好才怪了。,很差,2018-07-27
39,麻蛋小姐,北京,很久没有冲动给一部电影打五星了！看完《西虹市首富》后非常激动，两位导演打磨的剧本近乎满分，沈腾和宋芸桦这对CP也非常的恶搞有爱，而且电影中的喜剧笑点张弛有度，真的做到了让观众笑着哭。相比第一部电影《夏洛特烦恼》，个人感觉本片完美超越，期待最终的票房成绩吧！,力荐,2018-07-27
40,kiki204629,新疆昌吉,这个团队对剧本的打磨和设计还是有一定功力的，总体很接地气。喜剧最高境界就是让你看出泪，呐，笑点密集的背后是我们普通人的烦恼，啥时候痛快的做个败家玩意儿呢？,力荐,2018-07-27
41,电影发烧友, ,没有任何剧情的烂喜剧，没有剧情，一场闹剧，前五十分钟看不进去，后面的人物反思等不到了，提前离场，不知道笑点在哪里？角色也都不太正常，国产电影都这样，哎，可悲，还是冯小刚，徐克，这些导演的片子像话,很差,2018-07-27
42,Mr. Infamous,北京,去年在香港，看闫非彭大魔跟沈腾马丽一起乐呵呵地聊《资本接班人》，想着这《夏洛特烦恼》的升级版，相当可期了。只是马丽消失，而《夏》曾被诟病的思想与趣味，反倒变本加厉，难怪招惹那么多非议。有不少地方，段位低了些，属于不好回味的那种。而贪图插入某种正向情感，有时却嚼不烂了。不过，沈腾在喜剧表演上真有一套，很多笑点还是被他撑了起来，很喜欢他捂眼哭叫那段。宋芸桦开始不搭调，但后面不搭调成了挺有意思的主调，可能因为我太喜欢滕丽名，时而恍惚。生育梗比烧钱梗更厉害。火箭女孩那首羞耻的歌也是超洗脑。片末有个谋算许久的大梗大为不当，但对张晨光，倒有好感上窜。,还行,2018-07-24
43,冯小强,山东济南,每天负能量刷屏，能有一部电影让你开怀大笑俩小时，已经是难能可贵了。夏洛特玩穿越，铁拳玩性别互换，西虹市在高概念上玩的更high，30天败光10个亿。把人对金钱的欲望放在最夸张最极端的情境下展示，开怀大笑之后还能若有所思，功德圆满了…,力荐,2018-07-27
44,嘟嘟熊之父,北京,十亿元很难花掉吗？投资一部《阿修罗》，瞬间就赔光了啊。这设定太没说服力了。,很差,2018-07-27
45,muse, ,毫无意义的主题，也是，就是再烂的喜剧，国人都喜欢看，就是这样的心理，中国电影电视剧整体水平提不上来，怎么没人整改管一下，真正的好电影不让放，或者排片少，国产电影什么时候整体质量能提上去，就这种玩意也有人去看，不得不说中国电影市场非常的不成熟，观众也不成熟，坐等整改！,很差,2018-07-23
46,花大叔,北京,1、相比较《夏洛》文本更出色，但是《西虹市》的电影感更强，整个作品更立体，闫非彭大魔作为电影导演的进步很大；2、全程彩蛋，笑点密集；3、和《猛虫过江》撞了一半演员，可却比它好笑十倍，所以演员不应该为烂片背锅；4、演员该集体减肥了，连常远都肿了，张一鸣肿成个球，沈腾就没消过肿,推荐,2018-07-25
47,所有团的团长,北京,应该是买了版权的，但是讽刺都是浅尝辄止，喜剧部分又有点硬咯吱人，给我一种看缝纫机乐队的感觉，为了搞笑就咯吱人，为了感人，就莫名其妙煽情。故事性比较弱，始终难以入戏。旁边也有人笑的挺开心，我只能偶尔尬笑。5分。,较差,2018-07-24
48,Jonathan,北京,当人们普遍解决了温饱问题，谁还穿开裆裤挖野菜？同理，当人们的审美能力上去了，社会整体的修养上去了，观影者的口味上去了，谁还会看这类片子？有时候不要抱怨制片方，他们是金钱主义，再低俗只要有票房就可以。关键还是国人的审美水平问题。一方逐利无下限，一方傻乐无底线，中国的电影市场能好才怪了。,很差,2018-07-27
49,麻蛋小姐,北京,很久没有冲动给一部电影打五星了！看完《西虹市首富》后非常激动，两位导演打磨的剧本近乎满分，沈腾和宋芸桦这对CP也非常的恶搞有爱，而且电影中的喜剧笑点张弛有度，真的做到了让观众笑着哭。相比第一部电影《夏洛特烦恼》，个人感觉本片完美超越，期待最终的票房成绩吧！,力荐,2018-07-27
50,乌鸦火堂,北京,“孙子，接受这项挑战吧！”小目标主题：赚他一个亿和花光十个亿，哪个更难？这部电影告诉我们答案。算是今夏最有趣的电影了，依旧是夏洛特烦恼那样“日常の不可能”的爆笑励志，算是不走寻常路的高档爆米花作品，并在其中掺入了心灵鸡汤，格调不高，但真的好笑哦！沈腾真不错，宋芸桦是亮点，‘二奶“笑喷，里面有几处夏洛特的彩蛋，比如出租车司机和播音员，看来还真是一个世界观的作品,推荐,2018-07-27
51,徐若风,浙江杭州,开心麻花在戏内戏外都更有“钱”了，比之前的《羞羞的铁拳》/《夏洛特烦恼》在电影化程度上有提升。贫穷限制了想象力，同《百万英镑》表达相似主题，不过对阶层对撞的构建有着更荒诞戏谑、乃至癫狂过火，同时又贴合时代的讽刺。,推荐,2018-07-27
52,痞影人科莱昂,北京,行吧，开心麻花也可以正式从电影界拉黑了，造成的厌恶程度不亚于《缝纫机乐队》，前几部商业上成功造成的夜郎自大，实际上是创作者乞讨姿态和肚里无货的原形毕露。吃相尤其难看，一部从台前到幕后，从主题到内容，从计划到手段，从初衷到目标，都急不可耐地向10个亿看齐的影片，也就这么点骨气了。,很差,2018-07-27
53,桃桃淘电影,"P&#39;y?ngyang, North Korea",中间如何花钱的部分比较好笑。不过，宋芸桦重复了一个类似的角色。,null,2018-07-28
54,鲸鱼君,北京,《西虹市首富》：在这里，电影还原为造梦的本源，跟随“为钱所困”的主人公，一起幻想有了10亿元该怎么花光，着实是一件很有趣的事情。从有钱到没钱的反套路，即便是注入正能量的鸡汤也让人甘之如饴，顺便揶揄了一下中国足球。脂肪险的想法很不错，兴趣能开拓出新商机。音乐也贴合剧情，首首都很入耳。,力荐,2018-07-27
55,胤祥,北京,作为翻拍本土化做得还不错，虽说品味并不高级女主也比较尬，而且电影化程度有限，剧作也有些问题（反对力量不太够），不过在喜剧里面对人性和国民性有探讨，对现实问题有寓言式的揭示（结尾简直太狠了），比同行们还是好那么一些的。,还行,2018-07-25
56,橙曦羽潞,北京,单单冲着沈腾和开心麻花去看,还行,2018-07-27
57,刘十九,北京,没有话剧剧本打底的麻花不行啊,较差,2018-07-27
58,第七大陸,北京,物化女性直男癌，硬尬功夫足球，开心麻花这么愿意做这样的喜剧：比之前两部硬尬低俗只多不少，讽刺力度一部一部弱下去，变成段子拼贴和逮住一个点就死磕，无线索无逻辑无智商。这与好的喜剧是完全两条道路，醒醒！,很差,2018-07-27
59,JustZero, ,2星半，剧情改编80年代美国片，酿酒师的百万横财，加上低俗的段子和YY ，虽然还挺搞笑的，不过中国电影钱还是好赚,较差,2018-07-27
60,乌鸦火堂,北京,“孙子，接受这项挑战吧！”小目标主题：赚他一个亿和花光十个亿，哪个更难？这部电影告诉我们答案。算是今夏最有趣的电影了，依旧是夏洛特烦恼那样“日常の不可能”的爆笑励志，算是不走寻常路的高档爆米花作品，并在其中掺入了心灵鸡汤，格调不高，但真的好笑哦！沈腾真不错，宋芸桦是亮点，‘二奶“笑喷，里面有几处夏洛特的彩蛋，比如出租车司机和播音员，看来还真是一个世界观的作品,推荐,2018-07-27
61,徐若风,浙江杭州,开心麻花在戏内戏外都更有“钱”了，比之前的《羞羞的铁拳》/《夏洛特烦恼》在电影化程度上有提升。贫穷限制了想象力，同《百万英镑》表达相似主题，不过对阶层对撞的构建有着更荒诞戏谑、乃至癫狂过火，同时又贴合时代的讽刺。,推荐,2018-07-27
62,痞影人科莱昂,北京,行吧，开心麻花也可以正式从电影界拉黑了，造成的厌恶程度不亚于《缝纫机乐队》，前几部商业上成功造成的夜郎自大，实际上是创作者乞讨姿态和肚里无货的原形毕露。吃相尤其难看，一部从台前到幕后，从主题到内容，从计划到手段，从初衷到目标，都急不可耐地向10个亿看齐的影片，也就这么点骨气了。,很差,2018-07-27
63,桃桃淘电影,"P&#39;y?ngyang, North Korea",中间如何花钱的部分比较好笑。不过，宋芸桦重复了一个类似的角色。,null,2018-07-28
64,鲸鱼君,北京,《西虹市首富》：在这里，电影还原为造梦的本源，跟随“为钱所困”的主人公，一起幻想有了10亿元该怎么花光，着实是一件很有趣的事情。从有钱到没钱的反套路，即便是注入正能量的鸡汤也让人甘之如饴，顺便揶揄了一下中国足球。脂肪险的想法很不错，兴趣能开拓出新商机。音乐也贴合剧情，首首都很入耳。,力荐,2018-07-27
65,胤祥,北京,作为翻拍本土化做得还不错，虽说品味并不高级女主也比较尬，而且电影化程度有限，剧作也有些问题（反对力量不太够），不过在喜剧里面对人性和国民性有探讨，对现实问题有寓言式的揭示（结尾简直太狠了），比同行们还是好那么一些的。,还行,2018-07-25
66,橙曦羽潞,北京,单单冲着沈腾和开心麻花去看,还行,2018-07-27
67,刘十九,北京,没有话剧剧本打底的麻花不行啊,较差,2018-07-27
68,第七大陸,北京,物化女性直男癌，硬尬功夫足球，开心麻花这么愿意做这样的喜剧：比之前两部硬尬低俗只多不少，讽刺力度一部一部弱下去，变成段子拼贴和逮住一个点就死磕，无线索无逻辑无智商。这与好的喜剧是完全两条道路，醒醒！,很差,2018-07-27
69,JustZero, ,2星半，剧情改编80年代美国片，酿酒师的百万横财，加上低俗的段子和YY ，虽然还挺搞笑的，不过中国电影钱还是好赚,较差,2018-07-27
70,乔~, ,其实我就不懂了 为啥现在人的要求就那么高了？人家纯粹的就是为了逗你开心 你哪来这么多事 是不是觉得自己可伟大了？,力荐,2018-07-27
71,杨清宇,四川成都,愚民视频，彻头彻尾的垃圾。,很差,2018-07-27
72,时间之葬,北京,贫穷，真的会限制我们的想象力。我们无法想象当一个人拥有三百亿时，他想要花光十个亿可能真的比他想要多赚十个亿困难得多。在近三百年的资本发展历史里，钱，永远是赚钱的第一生产力。如果你认同“钱”是至高甚或唯一的标准，那么你就永远是钱的奴隶——无论你拥有多少钱。,null,2018-07-27
73,末摘花,福建福州,沈腾和马丽一起才是赢家,较差,2018-07-27
74,LORENZO,"Frankfurt (am Main), Germany",论同性婚姻合法化的重要性，要是二奶合法继承了，还有他王多鱼什么事,还行,2018-07-28
75,寒枝雀静,上海,49年的分离逐渐形成了两种体制中对待金钱的态度。三十年后的创举让资本的作用力重新统一，却形成了另一种所谓“完善”对“粗俗”的金钱道德俯视，乃至形成暴发户式的地域刻板印象。即便遗传的财富能一时逆市场之力，即便爱情能够让异化的人际关系稍显温情，即便一个“工”字的主场让底层挣扎的蛆虫爆发出了空前的凝聚力，却依然难逃无穷增殖的资本网络。最终代代相传的缠绕之蛇不是血缘，不是一家亲的文化传统，更不是前三十多年的官方共识，而成为了资本。这便是后社会主义时代的困局。然而即便有这么多屁话可以解读，即便偶尔有段落能让我笑到呕吐，这依然是一部刻板、粗糙、油腻、男权癌的稀烂作品。其中假模假式的批判，都只会毫无意义地沦为它所批判的一部分。,较差,2018-07-27
76,lastwind, ,"呃，好尴尬，超过12岁的小朋友都不怎么笑得出来……

超俗套的故事和感情戏……眼镜妹明显借鉴周星星的百变星君",很差,2018-07-27
77,王大根,北京,现代版东宫娘娘烙大饼，不仅完·全·不·好·笑，足球的部分也太模仿《少林足球》了。王力宏竟然还是蛮帅的，1999年的《不可能错过你》比当代垃圾歌还是好听多了,较差,2018-07-28
78,微信【野评人】,江苏无锡,很不错的放松逗乐片！喜剧电影是现实和荒诞两种元素的调配，调配的不好很容易翻车。和麻花以往的片子比起来，这个片子荒诞的成分略多一些，笑果良好，但因为现实成分淡化，所以就不太具备批判的功能了。对于进戏院只图一乐的人来说，是非常不错的选择。PS.看到有钱的人生如此费劲，我就很放心的继续穷下去了。,力荐,2018-07-27
79,横看成岭侧成峰, ,看完电影我只能说一句“贫穷限制了我的想象力”。没有马丽我觉得还挺遗憾的，我很喜欢她。,推荐,2018-07-27
80,乔~, ,其实我就不懂了 为啥现在人的要求就那么高了？人家纯粹的就是为了逗你开心 你哪来这么多事 是不是觉得自己可伟大了？,力荐,2018-07-27
81,杨清宇,四川成都,愚民视频，彻头彻尾的垃圾。,很差,2018-07-27
82,时间之葬,北京,贫穷，真的会限制我们的想象力。我们无法想象当一个人拥有三百亿时，他想要花光十个亿可能真的比他想要多赚十个亿困难得多。在近三百年的资本发展历史里，钱，永远是赚钱的第一生产力。如果你认同“钱”是至高甚或唯一的标准，那么你就永远是钱的奴隶——无论你拥有多少钱。,null,2018-07-27
83,末摘花,福建福州,沈腾和马丽一起才是赢家,较差,2018-07-27
84,LORENZO,"Frankfurt (am Main), Germany",论同性婚姻合法化的重要性，要是二奶合法继承了，还有他王多鱼什么事,还行,2018-07-28
85,寒枝雀静,上海,49年的分离逐渐形成了两种体制中对待金钱的态度。三十年后的创举让资本的作用力重新统一，却形成了另一种所谓“完善”对“粗俗”的金钱道德俯视，乃至形成暴发户式的地域刻板印象。即便遗传的财富能一时逆市场之力，即便爱情能够让异化的人际关系稍显温情，即便一个“工”字的主场让底层挣扎的蛆虫爆发出了空前的凝聚力，却依然难逃无穷增殖的资本网络。最终代代相传的缠绕之蛇不是血缘，不是一家亲的文化传统，更不是前三十多年的官方共识，而成为了资本。这便是后社会主义时代的困局。然而即便有这么多屁话可以解读，即便偶尔有段落能让我笑到呕吐，这依然是一部刻板、粗糙、油腻、男权癌的稀烂作品。其中假模假式的批判，都只会毫无意义地沦为它所批判的一部分。,较差,2018-07-27
86,lastwind, ,"呃，好尴尬，超过12岁的小朋友都不怎么笑得出来……

超俗套的故事和感情戏……眼镜妹明显借鉴周星星的百变星君",很差,2018-07-27
87,王大根,北京,现代版东宫娘娘烙大饼，不仅完·全·不·好·笑，足球的部分也太模仿《少林足球》了。王力宏竟然还是蛮帅的，1999年的《不可能错过你》比当代垃圾歌还是好听多了,较差,2018-07-28
88,微信【野评人】,江苏无锡,很不错的放松逗乐片！喜剧电影是现实和荒诞两种元素的调配，调配的不好很容易翻车。和麻花以往的片子比起来，这个片子荒诞的成分略多一些，笑果良好，但因为现实成分淡化，所以就不太具备批判的功能了。对于进戏院只图一乐的人来说，是非常不错的选择。PS.看到有钱的人生如此费劲，我就很放心的继续穷下去了。,力荐,2018-07-27
89,横看成岭侧成峰, ,看完电影我只能说一句“贫穷限制了我的想象力”。没有马丽我觉得还挺遗憾的，我很喜欢她。,推荐,2018-07-27
90,SELVEN,北京,50/100 一种类型的喜剧方式恨不得用八百次，丝毫不知节制的配乐和表演，开心麻花宇宙里目前为止最平庸的一部。至于这种传播对金钱的道德洁癖观念的商业片，也是玩儿不出非cliche的东西来了，穷人就继续用“钱是冰冷的，我是有爱心的”这种观念来麻醉自己好了。,较差,2018-07-27
91,姨妈的鸭,上海,虽然评分不高，剧情不佳，女主赶客，但是笑点的编排非常努力，我也靠波波的剧情和周围的观众几乎保持了笑点一致。,还行,2018-07-27
92,绯色_神仙,上海,非常好看的爆笑喜剧，看的人笑的停不下来。主题深刻，令人笑过之后，尽是深思。,力荐,2018-07-27
93,海边的安托万,内蒙古呼和浩特,看的时候确实尬笑了几次，但笑过之后越想越恶心。所有的笑点都像是一个丑八怪在拼命挠你痒痒。听到那句生一百个娃时差点吐出来，所谓的人性考验仍然包裹着等价交换和物化女性的出发点，把女性和金钱在天平上权衡一番，选择前者后按照一种理所当然的奇葩逻辑尽力挽回“成本”，如果让你救的是个男人呢？,很差,2018-07-28
94,南悠一,北京,视听技巧非常糟糕。但还是要为“脂肪险”打个call，准确反映出现代人类的某种困境。,较差,2018-07-27
95,为什么关注我, ,从夏洛到西虹市，闫彭二导每个笑点都很高级，也都不是恶趣味，电影可能不是神作，但是真真切切感受到了这些喜剧人的用心,力荐,2018-07-24
96,琦殿,广东深圳,沈腾一开始表演就有种别样的性感，但片儿不好看,null,2018-07-27
97,西楼尘,江苏苏州,看到王多鱼开的险种我都绝望了，减脂险分明是虐待吧，居然还有人说他在搞慈善？想挥霍十亿别投股票和初创项目，为啥不考虑一下投资中国足球？钱可以撕开演说家的伪善嘴脸，堵住媒体人的夸夸其谈，把喜欢的女孩贴满大街小巷，给失败的比赛颁个巨大的奖牌。都在想怎么花掉十忆，其实兜里还没十块钱零钱。,很差,2018-07-28
98,武侠小王子,江苏南京,如果把好笑搞笑等同于喜剧和幽默，那么刘别谦、卓别林、雅克塔蒂和巴斯特基顿还有存在的必要吗？,很差,2018-07-27
99,摩西不夜奔,北京,花光10个亿费这么大劲，西虹市就没搞电影的吗？还不够拍俩阿修罗的,推荐,2018-07-27
